Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
30,0,45.648,-151.702,993.073,27.7531,90.1001,978.994,270.298,-96.8027,1001.47,224.73,121.979,986.434,87.9315,-212.89,692.247,121.325,-200.867,565.31,148.923,-221.882,445.972,229.494,-210.156,79.7276,308.263,-144.811,75.4906,59.3269,-230.682,42.2081,83.0371,165.6,829.323,132.605,169.422,556.259,179.1,189.616,272.393,250.434,188.48,76.4163,321.005,114.462,62.712,78.4513,222.13,37.6837
31,0,45.5963,-151.769,993.077,27.8639,90.0299,978.967,270.207,-96.9497,1001.46,224.766,121.886,986.471,87.923,-212.944,692.247,121.252,-200.944,565.351,148.907,-221.933,446.009,229.475,-210.187,79.737,308.271,-144.789,75.5453,59.3007,-230.701,42.2525,83.1517,165.514,829.283,132.733,169.349,556.23,179.149,189.597,272.417,250.461,188.51,76.4516,321.003,114.444,62.7932,78.4059,222.135,37.7765
32,0,45.5447,-151.839,993.125,27.9085,89.9746,978.914,270.094,-97.163,1001.63,224.716,121.818,986.576,87.8009,-212.98,692.352,121.145,-201.046,565.487,148.806,-221.97,446.11,229.382,-210.208,79.8713,308.186,-144.811,75.5984,59.2459,-230.68,42.3991,83.1414,165.513,829.425,132.633,169.359,556.44,179.045,189.615,272.56,250.402,188.553,76.5849,320.892,114.432,63.0008,78.3301,222.141,37.9422
33,0,45.4364,-151.905,993.199,27.9157,89.9372,979.01,269.792,-97.0738,1001.6,224.73,121.662,986.659,87.7063,-212.998,692.444,121.034,-201.101,565.627,148.68,-222.015,446.201,229.291,-210.229,79.9096,308.127,-144.808,75.742,59.187,-230.658,42.5378,83.9097,165.132,829.185,134.469,169.714,554.316,178.935,189.605,272.75,250.311,188.561,76.7234,320.813,114.431,63.1197,78.2505,222.118,38.0241
34,0,45.4414,-152.005,993.195,27.9802,89.8662,979.02,270.131,-97.4869,1001.84,224.793,121.545,986.691,87.7124,-213.042,692.457,121.018,-201.146,565.648,148.667,-222.069,446.22,229.294,-210.251,80.011,308.138,-144.776,75.7919,59.1591,-230.66,42.5487,83.9681,165.091,829.261,134.515,169.669,554.316,178.911,189.585,272.792,250.262,188.55,76.7909,320.826,114.432,63.1687,78.2372,222.116,38.1094
35,0,45.4554,-152.04,993.105,28.0895,89.8002,978.956,270.054,-97.5416,1001.8,224.869,121.454,986.605,87.6825,-213.085,692.375,121.064,-201.186,565.557,148.689,-222.097,446.13,229.329,-210.211,79.9481,308.126,-144.797,75.6774,59.1928,-230.66,42.4717,84.0803,165.006,829.173,132.601,169.275,556.573,178.949,189.571,272.731,250.244,188.528,76.7408,320.824,114.421,63.1308,78.2265,222.13,38.1122
36,0,45.4662,-152.111,993.015,28.1477,89.7282,978.86,270.133,-97.7477,1001.64,224.931,121.281,986.456,87.7339,-213.142,692.27,121.1,-201.223,565.462,148.696,-222.123,446.026,229.425,-210.202,79.8785,308.174,-144.758,75.6421,59.2404,-230.65,42.3749,84.1377,164.926,829.12,132.651,169.224,556.454,179.006,189.57,272.592,250.374,188.573,76.5779,320.95,114.438,63.0319,78.2315,222.167,38.055
37,0,45.5107,-152.201,992.977,28.2397,89.639,978.903,,,,225.082,121.089,986.417,87.8046,-213.229,692.244,121.144,-201.271,565.372,148.759,-222.196,446.006,229.45,-210.188,79.8322,308.243,-144.76,75.575,59.2738,-230.675,42.3657,84.2463,164.823,829.075,132.725,169.151,556.438,179.101,189.508,272.583,250.366,188.532,76.5952,321.052,114.499,62.9065,78.3345,222.139,37.932
38,0,45.5405,-152.326,992.989,28.2396,89.5766,979.005,270.435,-98.1057,1001.79,225.218,120.924,986.432,87.8151,-213.329,692.271,121.167,-201.37,565.365,148.791,-222.272,446.022,229.457,-210.195,79.8439,308.262,-144.796,75.5947,59.2915,-230.686,42.3855,84.3498,164.749,829.089,132.787,169.059,556.47,179.149,189.462,272.654,250.407,188.483,76.5868,321.075,114.469,62.8603,78.3729,222.136,37.9508
39,0,45.516,-152.383,993.001,28.2891,89.4821,978.953,270.065,-97.8576,1001.33,225.228,120.837,986.446,87.8077,-213.407,692.299,121.093,-201.446,565.386,148.754,-222.345,446.044,229.43,-210.176,79.8415,308.209,-144.809,75.6657,59.2291,-230.681,42.3916,83.6091,164.943,829.36,132.808,168.96,556.451,179.149,189.425,272.609,250.382,188.481,76.5889,321.023,114.468,62.8828,78.3315,222.148,38.0578
