Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
23,0,185.499,-116.242,995.333,162.465,124.712,980.885,406.433,-49.8043,1001.71,355.28,164.861,1001.61,218.519,-170.872,697.077,242.022,-157.315,576.542,268.109,-180.556,446.972,340.088,-164.588,81.556,413.112,-92.4994,74.4932,170.67,-197.06,45.7391,209.941,207.846,832.426,237.408,215.583,561.693,271.844,240.434,276.265,334.069,238.907,77.8948,396.414,165.011,83.2407,161.082,274.808,45.7162
24,0,185.492,-116.155,995.348,162.458,124.838,980.974,406.639,-49.8551,1002,355.31,164.909,1001.67,218.505,-170.822,697.091,242.04,-157.273,576.539,268.134,-180.523,447.001,340.092,-164.576,81.5265,413.111,-92.5296,74.4572,170.673,-197.062,45.6855,208.634,208.51,833.628,237.599,215.628,561.716,272.005,240.411,276.233,334.129,238.891,77.8573,396.663,165.147,83.0788,161.082,274.794,45.7135
25,0,185.463,-116.075,995.34,162.62,124.882,980.884,401.936,-48.2305,996.184,355.4,164.943,1001.7,218.493,-170.745,697.111,242.101,-157.236,576.566,268.161,-180.482,447.022,340.124,-164.59,81.5971,413.09,-92.4831,74.4597,170.675,-197.073,45.6487,210.237,208.051,832.516,237.788,215.655,561.629,272.123,240.424,276.172,334.198,238.923,77.8355,396.838,165.173,83.0623,161.069,274.827,45.6944
26,0,185.429,-115.967,995.332,162.567,125.026,981.032,402.348,-48.1018,996.529,355.533,164.964,1001.71,218.533,-170.668,697.053,242.125,-157.161,576.504,268.188,-180.418,446.981,340.113,-164.538,81.537,413.154,-92.5143,74.4688,170.673,-197.055,45.6373,209.117,208.634,833.479,237.904,215.639,561.559,272.213,240.417,276.112,334.24,238.901,77.774,396.94,165.341,82.8582,161.111,274.815,45.613
27,0,185.435,-115.831,995.298,162.636,125.151,981.096,402.471,-48.0976,996.552,355.668,165.005,1001.71,218.612,-170.609,697.007,242.165,-157.024,576.465,268.233,-180.364,446.938,340.173,-164.518,81.4739,413.149,-92.4767,74.4195,170.713,-197.025,45.6113,210.395,208.286,832.55,238.078,215.744,561.482,272.308,240.448,276.007,334.26,238.894,77.6665,396.94,165.418,82.7202,161.11,274.835,45.5919
28,0,185.507,-115.746,995.234,162.778,125.236,981.072,402.295,-48.0186,996.189,355.808,165.022,1001.73,218.662,-170.546,696.945,242.221,-157.027,576.437,268.281,-180.317,446.897,340.168,-164.509,81.37,413.22,-92.5308,74.3209,170.774,-197.063,45.5313,209.261,208.839,833.596,238.295,215.805,561.395,272.39,240.483,275.96,334.299,238.898,77.6353,396.94,165.433,82.5825,161.113,274.836,45.5387
29,0,185.546,-115.699,995.146,162.855,125.317,981.128,406.882,-49.6806,1001.95,355.942,165.066,1001.75,218.644,-170.515,696.889,242.21,-156.942,576.331,268.275,-180.281,446.848,340.129,-164.51,81.279,413.23,-92.5213,74.3356,170.747,-197.046,45.4653,209.345,208.872,833.517,238.323,215.876,561.409,272.369,240.51,275.967,334.264,238.883,77.611,396.819,165.416,82.5039,161.157,274.831,45.4893
30,0,185.508,-115.586,995.107,162.946,125.411,981.149,402.031,-48.1245,995.896,356.023,165.076,1001.8,218.606,-170.44,696.919,242.2,-156.848,576.402,268.206,-180.244,446.893,340.131,-164.539,81.3146,413.141,-92.4792,74.3752,170.716,-197.043,45.5478,209.22,209.008,833.764,239.133,216.258,560.603,272.326,240.556,276.072,334.194,238.899,77.6564,396.583,165.334,82.6526,161.141,274.825,45.4741
31,0,185.538,-115.522,995.088,163.042,125.518,981.239,402.11,-48.1642,996.047,356.093,165.103,1001.9,218.586,-170.386,696.949,242.134,-156.838,576.445,268.168,-180.228,446.957,340.119,-164.553,81.4987,413.18,-92.5409,74.3921,170.671,-197.051,45.6126,209.587,208.97,833.598,239.247,216.317,560.694,272.322,240.617,276.167,334.111,238.879,77.7802,396.555,165.211,82.8967,161.124,274.839,45.5439
32,0,185.586,-115.433,995.056,163.166,125.592,981.267,406.769,-49.722,1001.88,356.332,165.14,1001.9,218.54,-170.309,697.04,242.075,-156.809,576.468,268.126,-180.204,447.026,340.073,-164.599,81.4598,413.09,-92.5146,74.4244,170.68,-197.055,45.6721,,,,239.429,216.361,560.757,272.355,240.663,276.282,334.114,238.862,77.8865,396.259,165.073,83.0747,161.116,274.866,45.6463
33,0,185.59,-115.354,995.025,163.231,125.7,981.333,402.297,-48.2002,996.254,356.41,165.188,1001.9,218.495,-170.265,697.095,242.024,-156.754,576.539,268.108,-180.18,447.048,340.093,-164.585,81.5512,413.094,-92.5172,74.4418,170.658,-197.054,45.6753,210.085,209.017,833.418,239.575,216.413,560.687,272.373,240.678,276.307,334.099,238.92,77.8388,396.233,165.069,83.1047,161.104,274.879,45.6286
34,0,185.573,-115.316,995.011,163.26,125.77,981.379,402.494,-48.1394,996.452,356.445,165.229,1001.91,218.488,-170.231,697.173,242.045,-156.765,576.619,268.102,-180.147,447.063,340.044,-164.559,81.5821,413.088,-92.4986,74.474,170.617,-197.042,45.7101,208.811,209.518,834.048,238.803,216.27,561.65,272.425,240.69,276.257,334.042,238.919,77.8128,396.326,165.088,83.1061,161.087,274.845,45.6459
35,0,185.58,-115.3,995.029,163.373,125.796,981.288,402.501,-48.0507,996.459,356.351,165.199,1002.02,218.515,-170.19,697.214,242.01,-156.771,576.586,268.077,-180.115,447.095,340.029,-164.57,81.5496,413.054,-92.4799,74.539,170.599,-197.044,45.6887,208.911,209.588,834.091,238.925,216.312,561.702,272.522,240.687,276.218,334.101,238.924,77.8305,396.46,165.201,82.9701,161.045,274.868,45.6537
36,0,185.575,-115.252,995.043,163.415,125.853,981.33,402.429,-48.0136,996.32,356.456,165.236,1002.06,218.568,-170.18,697.168,242.066,-156.721,576.578,268.158,-180.088,447.118,340.025,-164.548,81.4921,413.032,-92.4726,74.5025,170.619,-197.022,45.6911,211.353,208.866,832.719,239.119,216.326,561.623,272.624,240.693,276.2,334.151,238.926,77.8217,396.657,165.31,82.9122,161.046,274.88,45.6212
37,0,185.664,-115.195,995.001,163.455,125.948,981.377,402.316,-48.019,995.99,356.597,165.247,1002,218.815,-170.164,697.124,242.296,-156.703,576.603,268.302,-180.093,446.995,340.111,-164.524,81.4967,413.095,-92.4591,74.4418,170.684,-197.018,45.5879,211.445,208.901,832.67,239.992,216.527,560.715,272.713,240.684,276.107,334.185,238.903,77.7307,396.829,165.392,82.8574,161.136,274.862,45.5626
38,0,185.759,-115.178,994.984,163.587,125.968,981.41,407.87,-49.6485,1002.99,356.968,165.311,1001.99,218.97,-170.195,697.038,242.456,-156.638,576.491,268.478,-180.097,446.971,340.242,-164.545,81.4875,413.277,-92.5298,74.4179,170.763,-197.056,45.532,211.52,208.967,832.784,239.389,216.339,561.577,272.825,240.691,276.072,334.245,238.847,77.6854,396.816,165.395,82.7097,161.191,274.871,45.4886
