Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
51,0,8.21336,,-15.646,-7.17649,-33.1053,13.7653,,-17.5498,-0.067995,12.1404,1.02918,6.74835,3.48124,-0.833522,-15.0754,-11.2812,172.391,84.6705,-169.764,-121.014,911.961,-28.7788
52,0,8.22006,,-15.656,-7.16882,-33.1038,13.7935,,-17.5398,-0.0564561,12.1236,1.04275,6.77109,3.45982,-0.844032,-15.067,-11.3094,172.5,84.687,-169.856,-121.013,911.992,-28.8315
53,0,8.22897,,-15.6566,-7.16019,-33.1107,13.749,,-17.5313,-0.0496561,12.2154,1.02616,6.77248,3.44003,-0.840579,-15.0647,-11.3225,172.386,84.6959,-169.733,-121.096,911.931,-28.9735
54,0,8.23964,,-15.66,-7.17155,-33.1036,13.7826,,-17.5259,-0.0405704,12.1356,1.03384,6.78002,3.44869,-0.842969,-15.0612,-11.3235,172.579,84.6926,-169.934,-121.098,911.853,-29.0246
55,0,8.25424,,-15.6696,-7.15402,-33.1116,13.7917,,-17.5233,-0.0361153,12.0911,1.03611,6.78247,3.4418,-0.847213,-15.0564,-11.33,172.639,84.7071,-169.998,-121.162,911.815,-29.1798
56,0,8.27055,,-15.6775,-7.13532,-33.122,13.8038,,-17.5166,-0.0287929,12.0757,1.03679,6.78265,3.43865,-0.849662,-15.0503,-11.3357,172.694,84.721,-170.058,-121.198,911.845,-29.2884
57,0,8.27804,,-15.6796,-7.14447,-33.118,13.817,,-17.5145,-0.0244003,12.0377,1.03941,6.78354,3.44195,-0.852219,-15.0437,-11.3371,172.725,84.7277,-170.095,-121.174,911.963,-29.3473
58,0,8.27962,,-15.6911,-7.1366,-33.1187,13.7735,,-17.5066,-0.0243309,12.1419,1.0237,6.78377,3.43606,-0.84418,-15.0429,-11.3338,172.557,84.7328,-169.929,-121.155,912.077,-29.4504
59,0,8.28783,,-15.6957,-7.14761,-33.1107,13.7973,,-17.4965,-0.0200995,12.2106,1.02505,6.78629,3.42769,-0.852238,-15.0325,-11.3469,172.606,84.7312,-169.976,-121.092,912.107,-29.5318
60,0,8.29185,,-15.694,-7.16146,-33.1,13.8099,,-17.4976,-0.0182195,12.2216,1.02123,6.79297,3.42095,-0.856974,-15.0204,-11.3569,172.624,84.7269,-169.994,-121.121,912.051,-29.654
