Joints
100
,,Welding_hxy0727:L_Femur_L_Tibia,Welding_hxy0727:L_Foot_L_Toe,Welding_hxy0727:L_Tibia_L_Foot,,,Welding_hxy0727:R_Femur_R_Tibia,Welding_hxy0727:R_Foot_R_Toe,Welding_hxy0727:R_Tibia_R_Foot,,,Welding_hxy0727:Root_L_Femur,,,Welding_hxy0727:Root_R_Femur,,,Welding_hxy0727:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
35,0,-9.13955,,-10.8267,-7.02394,-48.7179,5.80427,,-26.8283,22.0255,60.1914,-1.80123,1.89918,7.90595,-8.60542,-32.7315,-9.51034,117.873,77.9719,-118.191,-0.422925,873.919,-65.1945
36,0,-9.13838,,-10.8297,-7.0247,-48.7203,5.82553,,-26.8197,22.0418,60.2006,-1.80472,1.90402,7.90896,-8.62017,-32.7336,-9.51642,117.841,77.9752,-118.161,-0.399901,874.038,-65.1905
37,0,-9.10874,,-10.8168,-7.04994,-48.7211,5.80872,,-26.8213,22.0477,60.1989,-1.83753,1.92979,7.8592,-8.65957,-32.7329,-9.56794,117.803,77.9642,-118.08,-0.436984,874.069,-65.2451
38,0,-9.12055,,-10.821,-7.05164,-48.7282,5.79797,,-26.8338,22.0535,60.1973,-1.82548,1.92265,7.86915,-8.64839,-32.7463,-9.55805,117.814,77.9671,-118.096,-0.495629,874.035,-65.225
39,0,-9.12303,,-10.8178,-7.06787,-48.7348,5.7838,,-26.8455,22.0602,60.1949,-1.80962,1.92002,7.85696,-8.63809,-32.7522,-9.56837,117.846,77.9746,-118.113,-0.516185,873.953,-65.2211
40,0,-9.14442,,-10.832,-7.04893,-48.7417,5.7918,,-26.8521,22.0707,60.2008,-1.79807,1.91603,7.88848,-8.62213,-32.77,-9.53519,117.86,77.9762,-118.163,-0.536354,873.905,-65.2158
41,0,-9.14064,,-10.8378,-7.03407,-48.7425,5.78924,,-26.8531,22.083,60.2105,-1.80349,1.91788,7.92707,-8.5981,-32.7909,-9.48979,117.829,77.9777,-118.167,-0.509941,873.891,-65.158
42,0,-9.13955,,-10.8362,-7.03231,-48.7422,5.79626,,-26.847,22.0954,60.219,-1.81082,1.93091,7.93006,-8.60864,-32.8,-9.48664,117.775,77.9768,-118.116,-0.484369,873.916,-65.1396
43,0,-9.13832,,-10.831,-7.04548,-48.7419,5.80006,,-26.8449,22.1076,60.2245,-1.82136,1.94541,7.91095,-8.63365,-32.8014,-9.5102,117.731,77.9743,-118.056,-0.471277,873.953,-65.1789
44,0,-9.12447,,-10.8251,-7.06156,-48.7445,5.80608,,-26.8455,22.1132,60.2239,-1.83361,1.96031,7.88124,-8.66356,-32.8045,-9.54807,117.728,77.9716,-118.027,-0.485972,873.966,-65.1933
