Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
6080953.0000,0.1747,0.0014,9.7400,-0.0082,0.0011,-0.0001,27.7800
6103954.0000,-0.0453,0.0214,9.7000,0.0018,-0.0089,-0.0001,27.6800
6126954.0000,-0.1153,0.0614,10.0500,-0.0082,0.0011,-0.0001,27.6800
6149954.0000,-0.0153,-0.0586,9.5700,-0.0082,0.0011,-0.0001,27.6800
6172954.0000,0.1347,-0.0686,9.8900,0.0018,0.0011,-0.0001,27.7300
6195954.0000,-0.0053,-0.0786,9.8400,0.0018,0.0011,0.0099,27.7300
6218954.0000,-0.1053,0.1014,9.6700,-0.0082,0.0011,-0.0001,27.7300
6241954.0000,-0.1253,0.0314,9.8200,0.0018,0.0011,-0.0001,27.8200
6264954.0000,0.0847,-0.0586,9.7900,-0.0082,0.0011,-0.0001,27.7300
6287953.0000,0.0047,-0.0386,9.7600,0.0018,0.0011,-0.0001,27.7800
6310954.0000,-0.0753,0.0814,9.8100,0.0018,0.0011,-0.0001,27.6800
6333954.0000,-0.0153,-0.0386,9.7800,0.0018,0.0011,-0.0001,27.6800
6356954.0000,0.0147,-0.0986,9.8600,0.0018,0.0011,-0.0001,27.6800
6379954.0000,-0.0653,-0.0486,9.7300,0.0018,0.0011,-0.0001,27.6400
6402954.0000,-0.0053,0.0714,9.7800,0.0018,0.0011,-0.0001,27.6400
6425954.0000,0.0947,-0.0386,9.7300,0.0018,0.0011,-0.0001,27.6400
6448954.0000,-0.0553,-0.0686,9.7900,0.0018,0.0011,-0.0001,27.7300
6471954.0000,-0.0053,0.0614,9.7800,0.0018,0.0011,-0.0001,27.6800
6494954.0000,0.0047,-0.0286,9.7500,0.0018,0.0011,-0.0001,27.6800
6517954.0000,-0.0353,-0.0286,9.9300,0.0018,0.0011,-0.0001,27.6800
6540953.0000,-0.0453,-0.0186,9.8600,0.0018,0.0011,-0.0001,27.7800
6563953.0000,-0.0053,0.0114,9.7100,-0.0082,-0.0089,-0.0001,27.7800
6586954.0000,0.0047,-0.0386,9.8000,-0.0082,0.0011,-0.0001,27.7300
6609954.0000,-0.0053,-0.0186,9.8700,0.0018,0.0011,-0.0001,27.7300
6632954.0000,-0.0353,0.0414,9.9000,-0.0082,0.0011,-0.0001,27.7300
6655954.0000,0.0047,0.0014,9.7600,0.0018,0.0011,-0.0001,27.6400
6678954.0000,0.0147,0.0214,9.7800,0.0018,0.0011,-0.0001,27.6400
6701954.0000,-0.0053,-0.0386,9.8100,-0.0082,0.0011,-0.0001,27.7300
6724953.0000,-0.0653,0.0114,9.8100,0.0018,0.0011,-0.0001,27.7800
6747954.0000,-0.0353,0.0114,9.8000,0.0018,0.0011,-0.0001,27.5900
6770954.0000,-0.0153,-0.0086,9.7700,0.0018,0.0011,-0.0001,27.6400
6793954.0000,0.0247,0.0114,9.7600,0.0018,0.0011,-0.0001,27.7300
6816954.0000,-0.0753,0.0314,9.8400,0.0018,0.0011,-0.0001,27.6400
6839954.0000,0.0447,0.0014,9.7200,-0.0082,0.0011,-0.0001,27.7300
6862954.0000,0.0447,-0.0286,9.8100,0.0018,-0.0089,-0.0001,27.7300
6885954.0000,0.0447,0.0514,9.8400,0.0018,0.0011,-0.0001,27.6800
6908954.0000,-0.0653,-0.0586,9.9100,0.0018,0.0011,-0.0001,27.6800
6931953.0000,-0.0153,0.0014,9.8400,0.0018,0.0011,-0.0001,27.7800
6954953.0000,0.0047,0.0014,9.7800,-0.0082,0.0011,-0.0001,27.7800
