Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
7345953.0,0.28,-0.05,9.26,-0.05,0.03,-0.01,27.78
7368953.0,0.42,0.02,9.19,-0.05,0.03,-0.01,27.78
7391954.0,0.34,-0.01,9.23,-0.04,0.03,-0.01,27.64
7414954.0,0.32,0.02,9.23,-0.04,0.03,-0.0,27.64
7437954.0,0.27,-0.01,9.15,-0.05,0.03,-0.01,27.64
7460954.0,0.32,0.03,9.27,-0.04,0.03,-0.01,27.73
7483954.0,0.37,-0.0,9.22,-0.04,0.03,-0.01,27.64
7506954.0,0.34,0.03,9.25,-0.04,0.03,-0.01,27.73
7529954.0,0.32,0.11,9.22,-0.04,0.03,-0.01,27.68
7552954.0,0.32,0.06,9.15,-0.04,0.03,-0.01,27.68
7575954.0,0.35,0.02,9.22,-0.04,0.03,-0.01,27.73
7598954.0,0.32,-0.04,9.26,-0.04,0.03,-0.01,27.73
7621954.0,0.3,-0.03,9.23,-0.04,0.03,-0.01,27.73
7644954.0,0.31,0.05,9.22,-0.04,0.03,-0.01,27.64
7667954.0,0.28,-0.05,9.19,-0.05,0.02,-0.01,27.64
7690954.0,0.38,0.01,9.26,-0.04,0.03,-0.01,27.68
7713953.0,0.29,0.01,9.25,-0.04,0.03,-0.01,27.78
7736954.0,0.36,-0.01,9.29,-0.04,0.03,-0.01,27.68
7759954.0,0.36,0.04,9.18,-0.04,0.03,-0.01,27.68
7782954.0,0.35,-0.0,9.26,-0.04,0.03,-0.01,27.64
7805954.0,0.34,-0.0,9.2,-0.05,0.03,-0.01,27.73
7828954.0,0.27,0.03,9.24,-0.04,0.03,-0.01,27.64
7851954.0,0.39,0.05,9.28,-0.05,0.03,-0.01,27.73
7874954.0,0.3,0.02,9.23,-0.04,0.03,-0.01,27.68
7897954.0,0.39,0.02,9.14,-0.04,0.03,-0.01,27.68
7920954.0,0.31,0.0,9.21,-0.05,0.03,-0.01,27.68
7943953.0,0.37,-0.04,9.31,-0.04,0.03,-0.01,27.78
7966953.0,0.4,-0.02,9.26,-0.05,0.03,-0.01,27.78
7989954.0,0.3,0.01,9.22,-0.04,0.03,-0.01,27.73
8012954.0,0.3,0.05,9.19,-0.04,0.03,-0.01,27.73
8035954.0,0.35,-0.01,9.25,-0.04,0.02,-0.01,27.73
8058954.0,0.27,0.06,9.26,-0.05,0.03,-0.01,27.64
8081954.0,0.34,0.08,9.17,-0.04,0.03,-0.01,27.68
8104954.0,0.34,0.05,9.13,-0.04,0.03,-0.01,27.68
8127954.0,0.3,-0.0,9.17,-0.04,0.03,-0.01,27.68
8150954.0,0.29,0.02,9.19,-0.04,0.03,-0.01,27.68
8173954.0,0.33,0.01,9.18,-0.04,0.03,-0.01,27.73
8196954.0,0.31,0.02,9.14,-0.04,0.03,-0.01,27.64
8219954.0,0.28,-0.03,9.19,-0.04,0.03,-0.01,27.73
8242954.0,0.33,-0.03,9.26,-0.05,0.03,-0.01,27.73
8265954.0,0.38,-0.02,9.24,-0.04,0.03,-0.01,27.73
8288954.0,0.36,-0.04,9.24,-0.04,0.03,-0.01,27.64
8311953.0,0.29,-0.01,9.26,-0.04,0.03,-0.01,27.78
8334954.0,0.34,0.02,9.27,-0.04,0.03,-0.01,27.68
8357954.0,0.31,0.01,9.18,-0.04,0.03,-0.01,27.68
8380954.0,0.34,0.05,9.19,-0.04,0.03,-0.01,27.82
8403954.0,0.39,-0.0,9.13,-0.04,0.03,-0.01,27.64
8426954.0,0.36,0.0,9.31,-0.04,0.03,-0.01,27.73
8449954.0,0.31,0.04,9.17,-0.04,0.03,-0.01,27.64
8472954.0,0.36,-0.05,9.25,-0.04,0.03,-0.01,27.73
8495953.0,0.28,0.07,9.17,-0.04,0.03,-0.01,27.78
8518954.0,0.32,0.04,9.22,-0.04,0.02,-0.01,27.68
8541954.0,0.36,-0.01,9.23,-0.05,0.03,-0.01,27.68
8564954.0,0.31,0.06,9.14,-0.04,0.03,-0.01,27.68
8587954.0,0.26,-0.05,9.12,-0.04,0.03,-0.01,27.54
8610954.0,0.26,0.05,9.21,-0.04,0.03,-0.01,27.73
8633954.0,0.39,0.02,9.28,-0.04,0.03,-0.01,27.64
8656954.0,0.35,0.02,9.16,-0.04,0.03,-0.01,27.64
8679954.0,0.34,0.03,9.2,-0.05,0.03,-0.01,27.68
8702953.0,0.3,0.02,9.25,-0.04,0.03,-0.01,27.78
8725954.0,0.32,0.08,9.23,-0.04,0.03,-0.01,27.68
8748954.0,0.36,0.05,9.16,-0.04,0.03,-0.01,27.68
8771954.0,0.39,0.04,9.25,-0.04,0.03,-0.01,27.59
8794954.0,0.3,0.03,9.16,-0.04,0.03,-0.01,27.64
8817954.0,0.36,-0.03,9.18,-0.04,0.03,-0.01,27.64
8840954.0,0.34,-0.07,9.23,-0.04,0.03,-0.01,27.64
8863954.0,0.34,-0.04,9.2,-0.04,0.03,-0.01,27.64
8886953.0,0.32,0.01,9.15,-0.05,0.03,-0.01,27.78
8909953.0,0.33,0.02,9.2,-0.04,0.03,-0.01,27.78
8932954.0,0.33,-0.04,9.24,-0.05,0.03,-0.01,27.68
8955954.0,0.31,0.02,9.23,-0.04,0.03,-0.01,27.68
8978954.0,0.35,-0.05,9.24,-0.04,0.03,-0.01,27.73
9001954.0,0.3,0.08,9.21,-0.04,0.02,-0.01,27.73
9024954.0,0.33,0.04,9.18,-0.04,0.03,-0.01,27.64
9047954.0,0.38,0.06,9.12,-0.04,0.03,-0.01,27.73
9070954.0,0.32,0.02,9.2,-0.04,0.03,-0.01,27.73
